signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2022-11-10,2022-11-11,2022-11-25,163.992,163.1384,609,Long,-0.5224960559518097,-521.8225733032014,10,timeout,Timed out,160.5934,170.7891,100000.0,99478.1774266968,400,409,40,14,0.0,1.5,3.0,10,GLD,2021-10-12,2022-10-11,2022-10-12,2023-01-11
2022-12-01,2022-12-02,2022-12-15,166.2631,165.2673,598,Long,-0.6009127445512892,-597.4594398498448,10,timeout,Timed out,164.0066,170.7759,99478.1774266968,98880.71798684695,414,423,40,14,0.0,1.5,3.0,10,GLD,2021-10-12,2022-10-11,2022-10-12,2023-01-11
2023-01-12,2023-01-13,2023-01-27,177.0485,179.1304,558,Long,1.1738706791645213,1159.702712600716,10,timeout,Successful,174.0967,182.9521,98880.71798684695,100040.42069944767,442,451,20,14,0.0,1.5,3.0,10,GLD,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-02-01,2023-02-02,2023-02-02,181.1705,178.1478,552,Long,-1.6704234742177237,-1670.5260230390268,1,stop_loss,Stop-loss triggered,178.237,187.0377,100040.42069944767,98369.89467640864,455,455,20,14,0.0,1.5,3.0,10,GLD,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-03-13,2023-03-14,2023-03-17,177.4387,182.8544,554,Long,3.050104794341593,2998.284408574138,4,profit_target,Successful,174.6851,182.9458,98369.89467640864,101368.17908498278,482,485,20,14,0.0,1.5,3.0,10,GLD,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-03-23,2023-03-24,2023-03-27,185.7028,181.3018,545,Long,-2.3719203486681724,-2400.5738357081427,2,stop_loss,Stop-loss triggered,181.3924,194.3235,101368.17908498278,98967.60524927464,490,491,20,14,0.0,1.5,3.0,10,GLD,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-05-04,2023-05-05,2023-05-18,186.6533,182.2492,530,Long,-2.3614915013818303,-2336.1346818810416,10,stop_loss,Stop-loss triggered,182.3404,193.1226,98967.60524927464,96631.4705673936,519,528,20,14,0.0,2.0,3.0,10,GLD,2022-04-12,2023-04-13,2023-04-14,2023-07-14
2023-07-18,2023-07-19,2023-07-27,183.5417,180.6057,526,Long,-1.6017417066178798,-1546.3686267786834,7,stop_loss,Stop-loss triggered,180.696,187.8103,96631.4705673936,95085.10194061491,569,575,20,14,0.0,2.0,3.0,10,GLD,2022-07-14,2023-07-14,2023-07-17,2023-10-12
2023-10-18,2023-10-19,2023-10-20,181.1305,185.0694,524,Long,2.172486163188996,2061.958517311912,2,profit_target,Successful,177.0991,185.1619,95085.10194061491,97147.06045792683,634,635,20,14,0.0,2.0,2.0,10,GLD,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-10-27,2023-10-30,2023-11-08,185.6328,181.3049,523,Long,-2.333461810783092,-2265.46322146109,8,stop_loss,Stop-loss triggered,181.3956,189.8699,97147.06045792683,94881.59723646574,641,648,20,14,0.0,2.0,2.0,10,GLD,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-11-27,2023-11-28,2023-12-01,187.9939,191.2654,504,Long,1.7380853010059576,1646.8175332189421,4,profit_target,Successful,184.6268,191.3611,94881.59723646574,96528.41476968468,661,664,20,14,0.0,2.0,2.0,10,GLD,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-12-27,2023-12-28,2024-01-03,192.4362,188.3591,501,Long,-2.1207441236528286,-2044.6204233667377,4,stop_loss,Stop-loss triggered,188.4533,196.419,96528.41476968468,94483.79434631794,682,685,20,14,0.0,2.0,2.0,10,GLD,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2024-03-01,2024-03-04,2024-03-05,194.2471,197.2355,486,Long,1.5363724406980717,1450.3981986044528,2,profit_target,Successful,191.1599,197.3342,94483.79434631794,95934.19254492239,726,727,20,14,0.0,2.0,2.0,10,GLD,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-03-06,2024-03-07,2024-03-08,199.6398,202.9911,480,Long,1.6765907105645572,1606.6280283802043,2,profit_target,Successful,196.1869,203.0926,95934.19254492239,97540.8205733026,729,730,20,14,0.0,2.0,2.0,10,GLD,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-03-28,2024-04-01,2024-04-03,208.7843,212.608,467,Long,1.8293313326978793,1783.639819561562,3,profit_target,Successful,204.8543,212.7143,97540.8205733026,99324.46039286416,745,747,20,14,0.0,2.0,2.0,10,GLD,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-08-16,2024-08-19,2024-08-30,230.2651,231.1743,431,Long,0.3928685445755153,389.899419700625,10,timeout,Successful,225.4286,236.7136,99324.46039286416,99714.35981256478,842,851,40,14,0.0,1.5,2.0,10,GLD,2023-07-17,2024-07-16,2024-07-17,2024-10-14
2024-09-12,2024-09-13,2024-09-23,238.2491,242.7762,418,Long,1.8981542231060744,1890.3359386828379,7,profit_target,Successful,234.7626,242.8976,99714.35981256478,101604.69575124762,860,866,40,14,0.0,1.5,2.0,10,GLD,2023-07-17,2024-07-16,2024-07-17,2024-10-14
2024-09-24,2024-09-25,2024-10-08,246.3131,242.1655,412,Long,-1.6858332537118104,-1710.8003792333766,10,stop_loss,Stop-loss triggered,242.2867,251.6817,101604.69575124762,99893.89537201425,868,877,40,14,0.0,1.5,2.0,10,GLD,2023-07-17,2024-07-16,2024-07-17,2024-10-14
2024-10-17,2024-10-18,2024-10-29,250.125,254.6562,399,Long,1.8095620984221226,1805.9407122726552,8,profit_target,Successful,246.6311,254.7836,99893.89537201425,101699.8360842869,885,892,55,14,0.0,1.5,2.0,10,GLD,2023-10-13,2024-10-14,2024-10-15,2025-01-15
2024-10-30,2024-10-31,2024-10-31,255.6478,252.0856,397,Long,-1.395363598362434,-1416.1846895579074,1,stop_loss,Stop-loss triggered,252.2117,260.2292,101699.8360842869,100283.651394729,894,894,55,14,0.0,1.5,2.0,10,GLD,2023-10-13,2024-10-14,2024-10-15,2025-01-15
2025-01-24,2025-01-27,2025-02-03,253.9869,260.8207,394,Long,2.688612419251725,2690.517318911705,6,profit_target,Successful,250.5048,260.9512,100283.651394729,102974.1687136407,951,956,55,14,0.0,1.5,3.0,10,GLD,2024-01-16,2025-01-15,2025-01-16,2025-04-16
