signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2022-08-12,2022-08-15,2022-08-17,64.7323,61.2699,1544,Long,-5.350848746881966,-5347.999082057213,3,stop_loss,Stop-loss triggered,61.3006,71.5959,100000.0,94652.00091794279,337,339,40,14,0.0,1.5,3.0,10,MU,2021-07-14,2022-07-13,2022-07-14,2022-10-11
2022-11-08,2022-11-09,2022-11-11,56.2481,60.8748,1682,Long,8.223389898502791,7780.093516729685,3,profit_target,Successful,52.7553,60.9053,94652.00091794279,102432.09443467247,398,400,40,14,0.0,1.5,2.0,10,MU,2021-10-12,2022-10-11,2022-10-12,2023-01-11
2023-01-23,2023-01-24,2023-02-06,61.2306,59.95,1672,Long,-2.0933771302671036,-2143.1485212707485,10,timeout,Timed out,58.0881,67.5156,102432.09443467247,100288.94591340172,448,457,40,14,0.0,1.5,3.0,10,MU,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-05-15,2023-05-16,2023-05-26,64.5823,70.5577,1552,Long,9.250415356077609,9271.848155768515,9,profit_target,Successful,61.5769,70.593,100288.94591340172,109560.79406917024,526,534,40,14,0.0,1.5,3.0,10,MU,2022-04-12,2023-04-13,2023-04-14,2023-07-14
2023-11-03,2023-11-06,2023-11-14,72.6163,76.9949,1508,Long,6.027983354587832,6600.965360399932,7,profit_target,Successful,69.3034,77.0334,109560.79406917024,116161.75942957017,646,652,55,14,0.0,1.5,2.0,10,MU,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-11-17,2023-11-20,2023-11-28,77.3787,74.4689,1501,Long,-3.762129026769763,-4369.538985401086,6,stop_loss,Stop-loss triggered,74.5062,81.2087,116161.75942957017,111792.22044416908,656,661,55,14,0.0,1.5,2.0,10,MU,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-12-13,2023-12-14,2023-12-21,80.8504,84.9036,1382,Long,5.011470146937329,5599.579014796822,6,profit_target,Successful,77.7786,84.9461,111792.22044416908,117391.7994589659,673,678,55,14,0.0,1.5,2.0,10,MU,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-12-22,2023-12-26,2024-01-02,86.7433,83.1307,1353,Long,-4.16646955553908,-4889.924847113245,5,stop_loss,Stop-loss triggered,83.1723,91.5048,117391.7994589659,112501.87461185266,680,684,55,14,0.0,1.5,2.0,10,MU,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2024-01-22,2024-01-23,2024-01-31,89.0445,85.5699,1263,Long,-3.9038613703555707,-4390.407557300874,7,stop_loss,Stop-loss triggered,85.6127,95.9081,112501.87461185266,108111.46705455179,698,704,40,14,0.0,1.5,3.0,10,MU,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-03-01,2024-03-04,2024-03-14,96.9785,92.5243,1114,Long,-4.594768607268384,-4963.912792741117,9,stop_loss,Stop-loss triggered,92.5706,105.7942,108111.46705455179,103147.55426181067,726,734,40,14,0.0,1.5,3.0,10,MU,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-03-21,2024-03-22,2024-04-01,109.3647,122.7176,943,Long,12.207579276690126,12589.7823919058,6,profit_target,Successful,102.6575,122.7789,103147.55426181067,115737.33665371647,740,745,40,14,0.0,1.5,3.0,10,MU,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-05-14,2024-05-15,2024-05-29,126.2931,131.5142,916,Long,4.132378813067531,4780.5216199188435,10,timeout,Successful,121.0131,136.8531,115737.33665371647,120517.85827363531,777,786,20,14,0.0,1.5,3.0,10,MU,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-06-05,2024-06-06,2024-06-17,133.9069,147.9929,900,Long,10.517563317220425,12675.3702406042,8,profit_target,Successful,126.8269,148.0669,120517.85827363531,133193.2285142395,792,799,20,14,0.0,1.5,3.0,10,MU,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-06-18,2024-06-20,2024-06-20,157.0885,148.9579,847,Long,-5.177304006863009,-6888.607954736828,1,stop_loss,Stop-loss triggered,149.0324,173.2006,133193.2285142395,126304.62055950268,801,801,20,14,0.0,1.5,3.0,10,MU,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-09-26,2024-09-27,2024-09-30,110.5553,103.6366,1142,Long,-6.259659025480382,-7903.075884004371,2,stop_loss,Stop-loss triggered,103.6885,124.2888,126304.62055950268,118401.54467549831,870,871,20,14,0.0,1.5,3.0,10,MU,2023-07-17,2024-07-16,2024-07-17,2024-10-14
2025-05-07,2025-05-08,2025-05-13,84.2921,94.1943,1404,Long,11.745751861128007,13900.64435272447,4,profit_target,Successful,79.3175,94.2414,118401.54467549831,132302.18902822278,1022,1025,20,14,0.0,1.5,3.0,10,MU,2024-04-16,2025-04-16,2025-04-17,2025-07-18
2025-05-16,2025-05-19,2025-06-02,95.7579,98.1309,1381,Long,2.476672036744157,3275.190641212481,10,timeout,Successful,90.5957,106.0821,132302.18902822278,135577.37966943526,1029,1038,20,14,0.0,1.5,3.0,10,MU,2024-04-16,2025-04-16,2025-04-17,2025-07-18
