signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2022-05-04,2022-05-05,2022-05-09,92.086,87.7628,1085,Long,-4.696730967725613,-4692.660437518483,3,stop_loss,Stop-loss triggered,87.8067,97.7917,100000.0,95307.33956248152,268,270,55,14,0.0,1.5,2.0,10,XOM,2021-04-14,2022-04-11,2022-04-12,2022-07-13
2022-05-17,2022-05-18,2022-05-31,92.5563,99.3666,1029,Long,7.355904556674171,7005.792084400848,9,profit_target,Successful,87.4113,99.4163,95307.33956248152,102313.13164688236,277,285,55,14,0.0,1.5,2.0,10,XOM,2021-04-14,2022-04-11,2022-04-12,2022-07-13
2022-06-07,2022-06-08,2022-06-13,103.5417,99.5566,988,Long,-3.8507987787759372,-3939.3379596440645,4,stop_loss,Stop-loss triggered,99.6064,108.7889,102313.13164688236,98373.7936872383,291,294,55,14,0.0,1.5,2.0,10,XOM,2021-04-14,2022-04-11,2022-04-12,2022-07-13
2022-08-23,2022-08-24,2022-08-31,98.059,93.8142,1003,Long,-4.3308414580238965,-4259.520474832025,6,stop_loss,Stop-loss triggered,93.8612,103.6561,98373.7936872383,94114.27321240627,344,349,40,14,0.0,1.5,2.0,10,XOM,2021-07-14,2022-07-13,2022-07-14,2022-10-11
2022-10-19,2022-10-20,2022-10-28,104.3722,111.0695,901,Long,6.414616052313622,6032.261052238653,7,profit_target,Successful,99.3075,111.125,94114.27321240627,100146.53426464493,384,390,55,14,0.0,1.5,2.0,10,XOM,2021-10-12,2022-10-11,2022-10-12,2023-01-11
2022-11-07,2022-11-08,2022-11-09,113.5367,109.583,882,Long,-3.48434705197989,-3489.2044980544597,2,stop_loss,Stop-loss triggered,109.6378,118.7353,100146.53426464493,96657.32976659047,397,398,55,14,0.0,1.5,2.0,10,XOM,2021-10-12,2022-10-11,2022-10-12,2023-01-11
2023-01-26,2023-01-27,2023-01-31,117.0085,110.7259,826,Long,-5.371365015707369,-5191.3704573643045,3,stop_loss,Stop-loss triggered,110.7813,123.2356,96657.32976659047,91465.95930922616,451,453,55,14,0.0,2.0,2.0,10,XOM,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-02-10,2023-02-13,2023-02-22,117.7789,109.8511,776,Long,-6.733284131517204,-6153.979049367583,7,stop_loss,Stop-loss triggered,109.906,125.6517,91465.95930922616,85311.98025985858,462,468,55,14,0.0,2.0,2.0,10,XOM,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-08-09,2023-08-10,2023-08-23,110.2451,105.7451,773,Long,-4.084196658260162,-3480.530350705463,10,stop_loss,Stop-loss triggered,105.798,116.9158,85311.98025985858,81831.44990915312,585,594,55,14,0.0,2.0,3.0,10,XOM,2022-07-14,2023-07-14,2023-07-17,2023-10-12
2023-09-01,2023-09-05,2023-09-18,114.157,117.5812,716,Long,2.997044568215656,2449.677736282363,10,timeout,Successful,109.4699,121.1878,81831.44990915312,84281.12764543548,602,611,55,14,0.0,2.0,3.0,10,XOM,2022-07-14,2023-07-14,2023-07-17,2023-10-12
2023-09-27,2023-09-28,2023-10-02,120.04,115.3466,702,Long,-3.9122493858808935,-3296.777259894603,3,stop_loss,Stop-loss triggered,115.4043,126.9936,84281.12764543548,80984.35038554088,619,621,55,14,0.0,2.0,3.0,10,XOM,2022-07-14,2023-07-14,2023-07-17,2023-10-12
2024-03-01,2024-03-04,2024-03-13,105.7128,109.3339,766,Long,3.4228709581102112,2771.7050339784328,8,profit_target,Successful,102.956,109.3886,80984.35038554088,83756.05541951931,726,733,55,14,0.0,1.5,2.0,10,XOM,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-03-14,2024-03-15,2024-03-25,110.9054,114.1526,755,Long,2.9254969030272697,2449.6237203967903,7,profit_target,Successful,108.4272,114.2097,83756.05541951931,86205.6791399161,735,741,55,14,0.0,1.5,2.0,10,XOM,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2024-03-28,2024-04-01,2024-04-03,116.4682,119.5784,740,Long,2.668093513197869,2299.5357330222614,3,profit_target,Successful,114.0907,119.6382,86205.6791399161,88505.21487293836,745,747,55,14,0.0,1.5,2.0,10,XOM,2023-01-12,2024-01-12,2024-01-16,2024-04-15
2025-03-17,2025-03-18,2025-03-31,114.147,118.8705,775,Long,4.135817510944963,3658.7078259468108,10,timeout,Successful,109.5324,123.3763,88505.21487293836,92163.92269888517,986,995,40,14,0.0,1.5,3.0,10,XOM,2024-01-16,2025-01-15,2025-01-16,2025-04-16
2025-06-13,2025-06-16,2025-06-23,111.8759,116.0022,823,Long,3.6860691869819204,3393.906686931761,5,profit_target,Successful,108.7377,116.0602,92163.92269888517,95557.82938581693,1048,1052,40,14,0.0,1.5,2.0,10,XOM,2024-04-16,2025-04-16,2025-04-17,2025-07-18
