signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2022-07-20,2022-07-21,2022-08-03,154.5772,166.2391,646,Long,7.542340400589924,7531.547575458593,10,profit_target,Successful,148.7048,166.3222,100000.0,107531.5475754586,320,329,40,14,0.0,1.5,3.0,10,AAPL,2021-07-14,2022-07-13,2022-07-14,2022-10-11
2022-08-10,2022-08-11,2022-08-24,170.145,167.4462,631,Long,-1.5880354473847083,-1704.9388735809189,10,timeout,Timed out,164.6347,181.1657,107531.5475754586,105826.60870187767,335,344,40,14,0.0,1.5,3.0,10,AAPL,2021-07-14,2022-07-13,2022-07-14,2022-10-11
2022-10-28,2022-10-31,2022-11-02,153.2366,145.3467,690,Long,-5.150696823523241,-5445.9987746053375,3,stop_loss,Stop-loss triggered,145.4194,168.8709,105826.60870187767,100380.60992727234,391,393,20,14,0.0,1.5,3.0,10,AAPL,2021-10-12,2022-10-11,2022-10-12,2023-01-11
2023-02-03,2023-02-06,2023-02-17,152.6463,152.4737,657,Long,-0.11504270100588525,-115.37473041532212,10,timeout,Timed out,146.5049,160.8349,100380.60992727234,100265.23519685701,457,466,40,14,0.0,1.5,2.0,10,AAPL,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-03-20,2023-03-21,2023-03-31,157.3987,164.6178,637,Long,4.5845008558080655,4596.555850681369,9,profit_target,Successful,151.9226,164.7001,100265.23519685701,104861.79104753838,487,495,40,14,0.0,1.5,2.0,10,AAPL,2022-01-11,2023-01-11,2023-01-12,2023-04-13
2023-04-19,2023-04-20,2023-05-03,166.173,167.3663,631,Long,0.7161577064681778,750.9285172500677,10,timeout,Successful,162.0534,171.6659,104861.79104753838,105612.71956478845,508,517,40,14,0.0,1.5,2.0,10,AAPL,2022-04-12,2023-04-13,2023-04-14,2023-07-14
2023-05-05,2023-05-08,2023-05-19,172.5662,175.0724,612,Long,1.450411171396284,1531.787016143804,10,timeout,Successful,167.9762,178.6862,105612.71956478845,107144.50658093226,520,529,40,14,0.0,1.5,2.0,10,AAPL,2022-04-12,2023-04-13,2023-04-14,2023-07-14
2023-05-30,2023-05-31,2023-06-05,177.4187,181.9733,603,Long,2.5653240767443344,2744.472357458246,4,profit_target,Successful,173.9344,182.0644,107144.50658093226,109888.9789383905,536,539,40,14,0.0,1.5,2.0,10,AAPL,2022-04-12,2023-04-13,2023-04-14,2023-07-14
2023-06-15,2023-06-16,2023-06-30,186.8234,192.8583,588,Long,3.2284771729659627,3546.5511382150435,10,profit_target,Successful,182.2248,192.9548,109888.9789383905,113435.53007660554,548,557,40,14,0.0,1.5,2.0,10,AAPL,2022-04-12,2023-04-13,2023-04-14,2023-07-14
2023-07-19,2023-07-20,2023-08-02,195.1875,192.4837,581,Long,-1.3870105787392168,-1572.924942939746,10,timeout,Timed out,190.9136,203.7354,113435.53007660554,111862.6051336658,570,579,40,14,0.0,1.5,3.0,10,AAPL,2022-07-14,2023-07-14,2023-07-17,2023-10-12
