asset,train_start,train_end,test_start,test_end,training_sharpe_score,selected_lookback,selected_stop_atr,selected_target_atr,timeout_days,test_trade_count
MU,2021-04-14,2022-04-11,2022-04-12,2022-07-13,24.41203483145402,40,1.5,3.0,10,0
MU,2021-07-14,2022-07-13,2022-07-14,2022-10-11,24.41203483145402,40,1.5,3.0,10,1
MU,2021-10-12,2022-10-11,2022-10-12,2023-01-11,0.7266092985383688,40,1.5,2.0,10,1
MU,2022-01-11,2023-01-11,2023-01-12,2023-04-13,2.221386250327454,40,1.5,3.0,10,1
MU,2022-04-12,2023-04-13,2023-04-14,2023-07-14,1.1267038604772428,40,1.5,3.0,10,1
MU,2022-07-14,2023-07-14,2023-07-17,2023-10-12,7.649985468297975,40,1.5,2.0,10,0
MU,2022-10-12,2023-10-12,2023-10-13,2024-01-12,163.45370543721833,55,1.5,2.0,10,4
MU,2023-01-12,2024-01-12,2024-01-16,2024-04-15,4.799957031450745,40,1.5,3.0,10,3
MU,2023-04-14,2024-04-15,2024-04-16,2024-07-16,2.041229481720705,20,1.5,3.0,10,3
MU,2023-07-17,2024-07-16,2024-07-17,2024-10-14,1.4687484612435295,20,1.5,3.0,10,1
MU,2023-10-13,2024-10-14,2024-10-15,2025-01-15,0.5792314709000681,40,1.5,3.0,10,0
MU,2024-01-16,2025-01-15,2025-01-16,2025-04-16,1.0840520621248249,40,1.5,3.0,10,0
MU,2024-04-16,2025-04-16,2025-04-17,2025-07-18,-0.5836065340367388,20,1.5,3.0,10,4
MU,2024-07-17,2025-07-18,2025-07-21,2025-10-16,661.4583252388966,55,1.5,2.0,10,3
MU,2024-10-15,2025-10-16,2025-10-17,2026-01-16,110.44002359274725,55,1.5,2.0,10,5
MU,2025-01-16,2026-01-16,2026-01-20,2026-04-13,5.040284263453678,20,1.5,3.0,10,2
